name,url,section,row_label
Gomu Gomu no Mi,https://onepiece.fandom.com/wiki/Gomu_Gomu_no_Mi,Paramecia,Canon
Bara Bara no Mi,https://onepiece.fandom.com/wiki/Bara_Bara_no_Mi,Paramecia,Canon
Sube Sube no Mi,https://onepiece.fandom.com/wiki/Sube_Sube_no_Mi,Paramecia,Canon
Bomu Bomu no Mi,https://onepiece.fandom.com/wiki/Bomu_Bomu_no_Mi,Paramecia,Canon
Kiro Kiro no Mi,https://onepiece.fandom.com/wiki/Kiro_Kiro_no_Mi,Paramecia,Canon
Hana Hana no Mi,https://onepiece.fandom.com/wiki/Hana_Hana_no_Mi,Paramecia,Canon
Doru Doru no Mi,https://onepiece.fandom.com/wiki/Doru_Doru_no_Mi,Paramecia,Canon
Baku Baku no Mi,https://onepiece.fandom.com/wiki/Baku_Baku_no_Mi,Paramecia,Canon
Mane Mane no Mi,https://onepiece.fandom.com/wiki/Mane_Mane_no_Mi,Paramecia,Canon
Supa Supa no Mi,https://onepiece.fandom.com/wiki/Supa_Supa_no_Mi,Paramecia,Canon
Toge Toge no Mi,https://onepiece.fandom.com/wiki/Toge_Toge_no_Mi,Paramecia,Canon
Ori Ori no Mi,https://onepiece.fandom.com/wiki/Ori_Ori_no_Mi,Paramecia,Canon
Bane Bane no Mi,https://onepiece.fandom.com/wiki/Bane_Bane_no_Mi,Paramecia,Canon
Ito Ito no Mi,https://onepiece.fandom.com/wiki/Ito_Ito_no_Mi,Paramecia,Canon
Noro Noro no Mi,https://onepiece.fandom.com/wiki/Noro_Noro_no_Mi,Paramecia,Canon
Doa Doa no Mi,https://onepiece.fandom.com/wiki/Doa_Doa_no_Mi,Paramecia,Canon
Awa Awa no Mi,https://onepiece.fandom.com/wiki/Awa_Awa_no_Mi,Paramecia,Canon
Beri Beri no Mi,https://onepiece.fandom.com/wiki/Beri_Beri_no_Mi,Paramecia,Canon
Sabi Sabi no Mi,https://onepiece.fandom.com/wiki/Sabi_Sabi_no_Mi,Paramecia,Canon
Shari Shari no Mi,https://onepiece.fandom.com/wiki/Shari_Shari_no_Mi,Paramecia,Canon
Horo Horo no Mi,https://onepiece.fandom.com/wiki/Horo_Horo_no_Mi,Paramecia,Canon
Yomi Yomi no Mi,https://onepiece.fandom.com/wiki/Yomi_Yomi_no_Mi,Paramecia,Canon
Kage Kage no Mi,https://onepiece.fandom.com/wiki/Kage_Kage_no_Mi,Paramecia,Canon
Suke Suke no Mi,https://onepiece.fandom.com/wiki/Suke_Suke_no_Mi,Paramecia,Canon
Nikyu Nikyu no Mi,https://onepiece.fandom.com/wiki/Nikyu_Nikyu_no_Mi,Paramecia,Canon
Toshi Toshi no Mi,https://onepiece.fandom.com/wiki/Toshi_Toshi_no_Mi,Paramecia,Canon
